airport_id,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres
JFK,5.1,3.3,6.1,0.0,0.0,297.0,19.4,1014.5
YAK,-0.5,-3.2,0.6,0.0,0.0,44.0,5.0,1016.4
EUG,5.8,4.4,6.1,0.0,0.0,338.0,3.2,1021.7
EVV,3.3,1.7,5.0,0.0,0.0,261.0,13.7,1017.8
EWN,6.2,-0.6,12.8,0.0,0.0,230.0,7.7,1018.9
EWR,4.9,3.0,5.6,0.0,0.0,310.0,8.8,1015.0
EYW,19.6,16.0,23.0,0.0,0.0,29.0,10.3,1023.3
FAI,-24.8,-31.6,-19.3,0.0,480.0,4.0,2.2,1015.0
FAR,-5.1,-7.1,-4.3,0.0,0.0,337.0,15.8,1026.3
FAT,10.4,7.2,14.4,0.0,0.0,46.0,5.4,1019.6
ESC,-1.9,-4.4,-0.6,0.0,0.0,359.0,14.1,1017.4
FAY,5.4,-1.1,12.8,0.0,0.0,226.0,8.9,1018.0
FLG,-2.2,-7.8,3.3,0.0,0.0,314.0,4.9,1019.6
FLL,16.0,11.1,21.7,0.0,0.0,336.0,4.3,1023.0
FNT,1.6,0.7,2.9,0.5,0.0,61.0,6.6,1012.4
FOD,-3.1,-4.4,-1.7,0.0,0.0,340.0,14.9,1023.8
FSD,-2.7,-6.6,-0.5,0.0,0.0,332.0,16.9,1024.7
FSM,5.3,-1.6,15.0,0.0,0.0,340.0,7.9,1019.9
FWA,1.6,0.0,2.8,1.3,0.0,232.0,15.8,1013.3
GCC,-1.3,-7.7,6.1,0.0,0.0,161.0,17.6,1020.6
FCA,-2.0,-2.8,-0.6,0.8,0.0,356.0,0.4,1022.2
ERI,2.6,1.1,3.9,2.0,0.0,191.0,10.4,1013.9
ELP,6.6,-1.6,17.2,0.0,0.0,328.0,10.1,1017.7
ELM,2.1,1.1,2.8,0.0,0.0,9.0,3.0,1014.0
DCA,7.3,4.4,10.6,0.0,0.0,219.0,12.4,1016.4
DDC,0.2,-4.3,3.3,0.0,0.0,13.0,15.1,1023.4
DEC,0.8,-0.6,2.2,0.0,0.0,290.0,19.0,1016.8
DEN,0.4,-5.5,5.6,0.0,0.0,249.0,9.0,1019.8
DFW,10.1,3.9,18.9,0.0,0.0,13.0,10.8,1017.8
DHN,7.6,-0.6,15.6,0.0,0.0,230.0,7.2,1023.3
DIK,-6.1,-8.8,0.0,0.0,0.0,164.0,18.0,1024.2
DLG,-7.0,-10.6,-5.0,0.0,0.0,16.0,22.7,1003.3
DLH,-4.7,-8.2,-2.7,0.0,30.0,351.0,12.6,1022.8
DRO,0.0,-5.6,8.9,0.0,0.0,353.0,6.4,1021.2
DRT,13.2,4.0,23.0,0.0,0.0,105.0,8.1,1017.9
DSM,-1.1,-3.2,-0.5,0.0,0.0,323.0,20.9,1021.8
DTW,2.4,1.1,3.9,0.6,0.0,219.0,9.2,1012.6
DVL,-9.5,-13.0,-5.0,0.0,0.0,264.0,10.7,1024.1
EAT,2.5,1.7,3.9,0.0,0.0,318.0,4.2,1021.8
EAU,-1.7,-3.3,-0.6,0.2,0.0,1.0,15.0,1019.6
ECP,7.4,0.0,16.7,0.0,0.0,11.0,3.8,1023.8
EGE,-8.7,-13.3,-1.1,0.0,0.0,40.0,3.9,1014.1
EKO,-0.8,-6.1,7.8,0.0,0.0,44.0,5.1,1020.9
GCK,-1.9,-5.6,3.3,0.0,0.0,27.0,16.3,1023.6
